nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 088 | train_loss=0.357073 | val_loss=0.356634 | val_rmse=0.904512 | lr=5.00e-04
Epoch 089 | train_loss=0.359687 | val_loss=0.363570 | val_rmse=0.913266 | lr=5.00e-04
Epoch 090 | train_loss=0.361931 | val_loss=0.352525 | val_rmse=0.899287 | lr=5.00e-04
Epoch 091 | train_loss=0.352929 | val_loss=0.353610 | val_rmse=0.900669 | lr=5.00e-04
Epoch 092 | train_loss=0.355638 | val_loss=0.357746 | val_rmse=0.905921 | lr=2.50e-04
Epoch 093 | train_loss=0.347336 | val_loss=0.348143 | val_rmse=0.893680 | lr=2.50e-04
Epoch 094 | train_loss=0.343069 | val_loss=0.352929 | val_rmse=0.899802 | lr=2.50e-04
Epoch 095 | train_loss=0.342189 | val_loss=0.349692 | val_rmse=0.895666 | lr=2.50e-04
Epoch 096 | train_loss=0.344060 | val_loss=0.351715 | val_rmse=0.898253 | lr=2.50e-04
Epoch 097 | train_loss=0.343055 | val_loss=0.341632 | val_rmse=0.885284 | lr=2.50e-04
Epoch 098 | train_loss=0.339508 | val_loss=0.355000 | val_rmse=0.902437 | lr=2.50e-04
Epoch 099 | train_loss=0.341908 | val_loss=0.347143 | val_rmse=0.892395 | lr=2.50e-04
Epoch 100 | train_loss=0.342173 | val_loss=0.341556 | val_rmse=0.885185 | lr=2.50e-04

===== Training representation=graph, n_qubits=6 =====
Epoch 001 | train_loss=0.811635 | val_loss=0.619729 | val_rmse=1.192351 | lr=1.00e-03
Epoch 002 | train_loss=0.669209 | val_loss=0.579301 | val_rmse=1.152803 | lr=1.00e-03
Epoch 003 | train_loss=0.620307 | val_loss=0.540448 | val_rmse=1.113474 | lr=1.00e-03
Epoch 004 | train_loss=0.607228 | val_loss=0.525741 | val_rmse=1.098219 | lr=1.00e-03
Epoch 005 | train_loss=0.586594 | val_loss=0.525034 | val_rmse=1.097481 | lr=1.00e-03
Epoch 006 | train_loss=0.580197 | val_loss=0.506704 | val_rmse=1.078153 | lr=1.00e-03
Epoch 007 | train_loss=0.566045 | val_loss=0.499146 | val_rmse=1.070082 | lr=1.00e-03
Epoch 008 | train_loss=0.562361 | val_loss=0.480899 | val_rmse=1.050340 | lr=1.00e-03
